DTPinMap,version=2.1:platform=Jaguar:toprow=-1:leftcol=-1:rightcol=-1	Pin Map
					
	Group Name	Pin Name	Type	Comment
		IDAC_OUT_7_DC30	Analog	
		IDAC_OUT_7_DC30_DM	Analog	
		IDAC_OUT_7_DC30_DT	Analog	
		IDAC_OUT_7_UVI80	Analog	
		IDAC_OUT_7_UVI80_DM	Analog	
		IDAC_OUT_7_UVI80_DT	Analog	
		IDAC_OUT_8_DC30	Analog	
		IDAC_OUT_8_DC30_DM	Analog	
		IDAC_OUT_8_DC30_DT	Analog	
		IDAC_OUT_8_UVI80	Analog	
		IDAC_OUT_8_UVI80_DM	Analog	
		IDAC_OUT_8_UVI80_DT	Analog	
		IDAC_OUT_9_DC30	Analog	
		IDAC_OUT_9_DC30_DM	Analog	
		IDAC_OUT_9_DC30_DT	Analog	
		IDAC_OUT_9_UVI80	Analog	
		IDAC_OUT_9_UVI80_DM	Analog	
		IDAC_OUT_9_UVI80_DT	Analog	
		IREF_UVI80	Analog	
		IREF_UVI80_DM	Analog	
		IREF_UVI80_DT	Analog	
		K1001	Utility	
		K1002	Utility	
		K1003	Utility	
		K1004	Utility	
		K1005	Utility	
		K1006	Utility	
		K1007	Utility	
		K1008	Utility	
		K1009	Utility	
		K1010	Utility	
		K1011	Utility	
		K1012	Utility	
		K1013	Utility	
		K1014	Utility	
		K1015	Utility	
		K1016	Utility	
		K1017	Utility	
		K1018	Utility	
		K1019	Utility	
		K1020	Utility	
		K1021	Utility	
		K1022	Utility	
		K1023	Utility	
		K1024	Utility	
		K1025	Utility	
		K1026	Utility	
		K1027	Utility	
		K1028	Utility	
		K1029	Utility	
		K1030	Utility	
		K1031	Utility	
		K1032	Utility	
		K1033	Utility	
		K1034	Utility	
		K1035	Utility	
		K1036	Utility	
		K1037	Utility	
		K1038	Utility	
		K1039	Utility	
		K1040	Utility	
		K1041	Utility	
		K1042	Utility	
		K1043	Utility	
		K1044	Utility	
		K1045	Utility	
		K1046	Utility	
		K1047	Utility	
		K1048	Utility	
		K1049	Utility	
		K1050	Utility	
		K1051	Utility	
		K1052	Utility	
		K1053	Utility	
		K1054	Utility	
		K1055	Utility	
		K1056	Utility	
		K1057	Utility	
		K1058	Utility	
		K1059	Utility	
		K1060	Utility	
		K1061	Utility	
		K1062	Utility	
		K1063	Utility	
		K1064	Utility	
		K1065	Utility	
		K1066	Utility	
		K1067	Utility	
		K1068	Utility	
		K1069	Utility	
		K1070	Utility	
		K1071	Utility	
		K1072	Utility	
		K1402	Utility	
		K1403	Utility	
		K1404	Utility	
		K1601	Utility	
		K2101	Utility	
		K2102	Utility	
		K2103	Utility	
		K2104	Utility	
		K2105	Utility	
		K2106	Utility	
		K2107	Utility	
		K3101	Utility	
		K3901	Utility	
		K3902	Utility	
		K3903	Utility	
		K3904	Utility	
		K4101	Utility	
		K4201	Utility	
		K4202	Utility	
		K4701	Utility	
		K4702	Utility	
		K4703	Utility	
		K4801	Utility	
		K4802	Utility	
		K4901	Utility	
		K4902	Utility	
		K5001	Utility	
		K5002	Utility	
		K5101	Utility	
		K5102	Utility	
		K5201	Utility	
		K5202	Utility	
		K5301	Utility	
		K5601	Utility	
		K5701	Utility	
		K6301	Utility	
		K6302	Utility	
		K6303	Utility	
		K6304	Utility	
		K6305	Utility	
		K6306	Utility	
		K6307	Utility	
		K6308	Utility	
		K6309	Utility	
		K6801	Utility	
		K6802	Utility	
		K6803	Utility	
		K6901	Utility	
		K6902	Utility	
		K6903	Utility	
		K6904	Utility	
		K7001	Utility	
		K7002	Utility	
		K7003	Utility	
		K7004	Utility	
		K7005	Utility	
		K7006	Utility	
		K7007	Utility	
		K7008	Utility	
		K7009	Utility	
		K7010	Utility	
		K7011	Utility	
		K7012	Utility	
		K7013	Utility	
		K7014	Utility	
		K7015	Utility	
		LDO13_EN	I/O	
		MONITOR_CHANNEL	I/O	
		NXTAL_MEMS	I/O	
		OUT_32K	I/O	
		RC_VOUT_UVI80	Analog	
		RC_VOUT_UVI80_DM	Analog	
		RC_VOUT_UVI80_DT	Analog	
		REFCLK_32KHZ_PA	I/O	
		RESET_IN1	I/O	
		RESET_IN2	I/O	
		RESET_IN3	I/O	
		RESET_L	I/O	
		SHDN	I/O	
		SLEEP_32K	I/O	
		SPMI_SCLK	I/O	
		SPMI_SDATA	I/O	
		SYS_ALIVE	I/O	
		TCAL	I/O	
		TCAL_DC30	Analog	
		TCAL_DC30_DM	Analog	
		TCAL_DC30_DT	Analog	
		TCAL_UVI80	Analog	
		TCAL_UVI80_DM	Analog	
		TCAL_UVI80_DT	Analog	
		TDEV1	I/O	
		TDEV1_DC30	Analog	
		TDEV1_DC30_DM	Analog	
