																				OTP_AVC_V001	

OTP_REGISTER_NAME	name	inst_name	inst_base	reg_name	reg_ofs	otp_owner	DEFAULT VALUE	bw	idx	offset	otp_b0	otp_a0	otpreg_add	otpreg_ofs	Default or Real	REAL VALUE	Comment	Different	OTP_ECID_ONLY	OTP_AVC_V001	END	
OTP_SYS_CTRL_CLK_REQ_CHICKEN_BUS_1_25	CLK_REQ_CHICKEN_BUS_1	SYS_CTRL	13056	SYS_CTRL_CCU_CFG_CLK_REQ_CHICKEN_BUS_1	5	-	255	8	38	27	0	4	25	0	Default				0	255	
OTP_SYS_CTRL_CLK_REQ_CHICKEN_BUS_2_26	CLK_REQ_CHICKEN_BUS_2	SYS_CTRL	13056	SYS_CTRL_CCU_CFG_CLK_REQ_CHICKEN_BUS_2	6	-	255	8	39	3	0	5	26	0	Default				0	255	
OTP_OTP_SLV_ALLOW_DST_27	ALLOW_DST	OTP_SLV	16384	OTP_SLV_OTP_CFG2	2	design	0	1	40	11	0	5	27	0	Default				0	0	
OTP_OTP_SLV_PCLK_27	PCLK	OTP_SLV	16384	OTP_SLV_OTP_CFG2	2	design	0	1	41	12	0	5	27	5	Default				0	0	
OTP_OTP_SLV_MINOR_TP_VERSION_28	MINOR_TP_VERSION	OTP_SLV	16384	OTP_SLV_OTP_ATE0	44	trim	0	4	42	13	0	5	28	0	Real				0	0	
OTP_OTP_SLV_MAJOR_TP_VERSION_28	MAJOR_TP_VERSION	OTP_SLV	16384	OTP_SLV_OTP_ATE0	44	trim	0	4	43	17	0	5	28	4	Real				0	0	
OTP_OTP_SLV_LCK0_29	LCK0	OTP_SLV	16384	OTP_SLV_OTP_ATE1	45	trim	0	8	44	21	0	5	29	0	Real				0	0	
OTP_OTP_SLV_LCK1_30	LCK1	OTP_SLV	16384	OTP_SLV_OTP_ATE2	46	trim	0	8	45	29	0	5	30	0	Real				0	0	
OTP_OTP_SLV_TEST_31	TEST	OTP_SLV	16384	OTP_SLV_OTP_ATE3	47	trim	0	8	46	5	0	6	31	0	Real				0	0	
OTP_VR_CTRL_LDO1VSEL_32	LDO1VSEL	VR_CTRL	16640	VR_CTRL_APC_VR_CTRL_LDO1VSEL_REG	2	system	110	7	47	13	0	6	32	0	Default				0	110	
OTP_VR_CTRL_LDO2VSEL_33	LDO2VSEL	VR_CTRL	16640	VR_CTRL_APC_VR_CTRL_LDO2VSEL_REG	3	system	2	7	48	20	0	6	33	0	Default				0	7	
OTP_VR_CTRL_LDO1START_UP_TIMER_DELAY_34	LDO1START_UP_TIMER_DELAY	VR_CTRL	16640	VR_CTRL_APC_VR_CTRL_LDO1START_UP_TIMER_REG	7	system	33	8	49	27	0	6	34	0	Default				0	33	
OTP_VR_CTRL_LDO2START_UP_TIMER_DELAY_35	LDO2START_UP_TIMER_DELAY	VR_CTRL	16640	VR_CTRL_APC_VR_CTRL_LDO2START_UP_TIMER_REG	8	system	9	8	50	3	0	7	35	0	Default				0	9	
OTP_VR_CTRL_VSWITCH0_STEP_TIME_36	VSWITCH0_STEP_TIME	VR_CTRL	16640	VR_CTRL_APC_VR_CTRL_VSWITCH0STEP_TIME_REG	13	system	80	7	51	11	0	7	36	0	Default				0	80	
OTP_VR_CTRL_VSWITCH1_STEP_TIME_37	VSWITCH1_STEP_TIME	VR_CTRL	16640	VR_CTRL_APC_VR_CTRL_VSWITCH1STEP_TIME_REG	14	system	80	7	52	18	0	7	37	0	Default				0	80	
OTP_VR_CTRL_VPMIC_VSEL_38	VPMIC_VSEL	VR_CTRL	16640	VR_CTRL_APC_VR_CTRL_VLDOCNT_REG	15	system	4	4	53	25	0	7	38	0	Default				0	4	
OTP_VR_CTRL_VPMIC_IN_SEL_38	VPMIC_IN_SEL	VR_CTRL	16640	VR_CTRL_APC_VR_CTRL_VLDOCNT_REG	15	-	0	2	54	29	0	7	38	4	Default				0	0	
OTP_VR_CTRL_MODEVPMIC_38	MODEVPMIC	VR_CTRL	16640	VR_CTRL_APC_VR_CTRL_VLDOCNT_REG	15	-	0	2	55	31	0	7	38	6	Default				0	0	
OTP_VR_CTRL_VSWITCH_MIN_STEP_TIME_39	VSWITCH_MIN_STEP_TIME	VR_CTRL	16640	VR_CTRL_APC_VR_CTRL_VSWITCHCNT_REG	16	system	2	5	56	1	0	8	39	0	Default				0	2	
OTP_BUCB_VR1_DP_P_SIGNIF_40	DP_P_SIGNIF	BUCB_VR1	20736	BUCB_VR1_CONFIG_PID_DP_P_REG	0	system	66	8	57	6	0	8	40	0	Default				0	55	
OTP_BUCB_VR1_DP_I_SIGNIF_41	DP_I_SIGNIF	BUCB_VR1	20736	BUCB_VR1_CONFIG_PID_DP_I_REG	1	system	49	8	58	14	0	8	41	0	Default				0	55	
OTP_BUCB_VR1_DP_D_SIGNIF_42	DP_D_SIGNIF	BUCB_VR1	20736	BUCB_VR1_CONFIG_PID_DP_D_REG	2	system	192	8	59	22	0	8	42	0	Default				0	170	
OTP_BUCB_VR1_DP_D_EXP_43	DP_D_EXP	BUCB_VR1	20736	BUCB_VR1_CONFIG_PID_DP_EXP_REG	3	system	0	2	60	30	0	8	43	0	Default				0	2	
OTP_BUCB_VR1_DP_I_EXP_43	DP_I_EXP	BUCB_VR1	20736	BUCB_VR1_CONFIG_PID_DP_EXP_REG	3	-	0	2	61	0	0	9	43	2	Default				0	0	
OTP_BUCB_VR1_DP_P_EXP_43	DP_P_EXP	BUCB_VR1	20736	BUCB_VR1_CONFIG_PID_DP_EXP_REG	3	-	0	2	62	2	0	9	43	4	Default				0	0	
OTP_BUCB_VR1_SP_P_SIGNIF_44	SP_P_SIGNIF	BUCB_VR1	20736	BUCB_VR1_CONFIG_PID_SP_P_REG	4	system	82	8	63	4	0	9	44	0	Default				0	110	
OTP_BUCB_VR1_SP_I_SIGNIF_45	SP_I_SIGNIF	BUCB_VR1	20736	BUCB_VR1_CONFIG_PID_SP_I_REG	5	system	74	8	64	12	0	9	45	0	Default				0	174	
OTP_BUCB_VR1_SP_D_SIGNIF_46	SP_D_SIGNIF	BUCB_VR1	20736	BUCB_VR1_CONFIG_PID_SP_D_REG	6	system	176	8	65	20	0	9	46	0	Default				0	240	
OTP_BUCB_VR1_SP_D_EXP_47	SP_D_EXP	BUCB_VR1	20736	BUCB_VR1_CONFIG_PID_SP_EXP_REG	7	system	0	2	66	28	0	9	47	0	Default				0	1	
OTP_BUCB_VR1_SP_I_EXP_47	SP_I_EXP	BUCB_VR1	20736	BUCB_VR1_CONFIG_PID_SP_EXP_REG	7	-	0	2	67	30	0	9	47	2	Default				0	0	
OTP_BUCB_VR1_SP_P_EXP_47	SP_P_EXP	BUCB_VR1	20736	BUCB_VR1_CONFIG_PID_SP_EXP_REG	7	-	0	2	68	0	0	10	47	4	Default				0	0	
OTP_BUCB_VR1_VPFM_AMPL_48	VPFM_AMPL	BUCB_VR1	20736	BUCB_VR1_CONFIG_CTRL_1_CONFIG_VSENSE_D_REG	10	system	7	5	69	2	0	10	48	0	Default				0	14	
OTP_BUCB_VR1_VPFM_CLP_48	VPFM_CLP	BUCB_VR1	20736	BUCB_VR1_CONFIG_CTRL_1_CONFIG_VSENSE_D_REG	10	-	2	3	70	7	0	10	48	5	Default				0	7	
OTP_BUCB_VR1_VSENSE_DAC_BIAS_PWM_49	VSENSE_DAC_BIAS_PWM	BUCB_VR1	20736	BUCB_VR1_CONFIG_CTRL_1_CONFIG_VSENSE_E_REG	11	system	0	4	71	10	0	10	49	0	Default				0	2	
OTP_BUCB_VR1_VSENSE_DAC_BIAS_SPFM_49	VSENSE_DAC_BIAS_SPFM	BUCB_VR1	20736	BUCB_VR1_CONFIG_CTRL_1_CONFIG_VSENSE_E_REG	11	system	0	4	72	14	0	10	49	4	Default				0	2	
OTP_BUCB_VR1_VSENSE_DAC_BIAS_IPFM_50	VSENSE_DAC_BIAS_IPFM	BUCB_VR1	20736	BUCB_VR1_CONFIG_CTRL_1_CONFIG_VSENSE_F_REG	12	system	0	4	73	18	0	10	50	0	Default				0	0	
OTP_BUCB_VR1_OFFSET_CORR_51	OFFSET_CORR	BUCB_VR1	20736	BUCB_VR1_VOUT_TRIM_SETPOINT_OFFSET_CAL_REG	0	system	0	8	74	22	0	10	51	0	Default				0	0	
OTP_BUCB_VR1_GAIN_CORR_52	GAIN_CORR	BUCB_VR1	20736	BUCB_VR1_VOUT_TRIM_SETPOINT_GAIN_CAL_REG	1	system	128	8	75	30	0	10	52	0	Default				0	128	
OTP_BUCB_VR1_OFFSET_CORR_DELTA_PFM_53	OFFSET_CORR_DELTA_PFM	BUCB_VR1	20736	BUCB_VR1_VOUT_TRIM_SETPOINT_OFFSET_CAL_2_REG	2	system	0	6	76	6	0	11	53	0	Default				0	0	
OTP_BUCB_VR1_VSENSE_IDAC_TRIM_HP_54	VSENSE_IDAC_TRIM_HP	BUCB_VR1	20736	BUCB_VR1_VOUT_TRIM_SETPOINT_OFFSET_CAL_3_REG	3	system	8	4	77	12	0	11	54	0	Default				0	8	
OTP_BUCB_VR1_VSENSE_IDAC_TRIM_LP_54	VSENSE_IDAC_TRIM_LP	BUCB_VR1	20736	BUCB_VR1_VOUT_TRIM_SETPOINT_OFFSET_CAL_3_REG	3	-	8	4	78	16	0	11	54	4	Default				0	8	
OTP_BUCB_VR1_OFFSET_CORR_DELTA_SPFM_55	OFFSET_CORR_DELTA_SPFM	BUCB_VR1	20736	BUCB_VR1_VOUT_TRIM_SETPOINT_OFFSET_CAL_4_REG	4	system	0	6	79	20	0	11	55	0	Default				0	0	
OTP_BUCB_PH1_CM_CALI_P_56	CM_CALI_P	BUCB_PH1	20992	BUCB_PH1_CONFIG_PHASE_GEN2_CM_CALI_P_REG	2	system	0	6	80	26	0	11	56	0	Default				0	0	
OTP_BUCB_PH1_CM_CALI_N_57	CM_CALI_N	BUCB_PH1	20992	BUCB_PH1_CONFIG_PHASE_GEN2_CM_CALI_N_REG	3	system	0	6	81	0	0	12	57	0	Default				0	0	
OTP_BUCB_PH1_CM_GAIN_CALI_P_58	CM_GAIN_CALI_P	BUCB_PH1	20992	BUCB_PH1_CONFIG_PHASE_GEN2_CM_GAIN_CALI_P_REG	4	system	93	8	82	6	0	12	58	0	Default				0	99	
OTP_BUCB_PH1_CM_GAIN_CALI_N_59	CM_GAIN_CALI_N	BUCB_PH1	20992	BUCB_PH1_CONFIG_PHASE_GEN2_CM_GAIN_CALI_N_REG	5	system	93	8	83	14	0	12	59	0	Default				0	67	
OTP_BUCB_PH1_OSC_TRIM_H_60	OSC_TRIM_H	BUCB_PH1	20992	BUCB_PH1_CONFIG_PHASE_GEN2_OSC_CALI_0_REG	27	-	1	1	84	22	0	12	60	0	Default				0	0	
OTP_BUCB_PH1_OSC_TRIM_L_61	OSC_TRIM_L	BUCB_PH1	20992	BUCB_PH1_CONFIG_PHASE_GEN2_OSC_CALI_1_REG	28	system	44	8	85	23	0	12	61	0	Default				0	189	
OTP_BUCB_PH2_CM_CALI_P_62	CM_CALI_P	BUCB_PH2	21248	BUCB_PH2_CONFIG_PHASE_GEN2_CM_CALI_P_REG	2	system	0	6	86	31	0	12	62	0	Default				0	0	
