
								CP1	CP1	CP1	QA_C	QA_C	QA_S	QA_S	CHAR_N25C	CHAR_N25C	CHAR_0C	CHAR_0C	CHAR_25C	CHAR_25C	CHAR_85C	CHAR_85C	CHAR_125C	CHAR_125C	FT1	FT1	TBD2	TBD2	
		flowtable	instance	testname	PETname	testnumber	scale	units	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	comment	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSA_PAR_Trim_GenTool	Buck2_LP_LS_CSA_X_X_FirstTrimCode_X_VDD3.80V_MeasG_X_X_X_X		95238			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSA_PAR_Trim_GenTool	Buck2_LP_LS_CSA_X_X_FirstTrim_X_VDD3.80V_MeasG_X_X_X_X		95239			N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSA_PAR_Trim_GenTool	Buck2_LP_LS_CSA_X_X_FinalTrimCode_C_VDD3.80V_MeasG_X_X_X_X	Buck2_LP_LS_CSA_X_X_FinalTrimCode_C_VDD3.80V_MeasG_X_X_BUCK.02.C0091_X	95240			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSA_PAR_Trim_GenTool	Buck2_LP_LS_CSA_X_X_FinalTrim_T_VDD3.80V_MeasG_X_X_X_X	Buck2_LP_LS_CSA_X_X_FinalTrim_T_VDD3.80V_MeasG_X_X_BUCK.02.T0073_X	95241			24320	26880	24320	26880	24320	26880	24320	26880	24320	26880	24320	26880	24320	26880	24320	26880	24320	26880	24320	26880	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSA_PAR_Trim_GenTool	Buck10_LP_LS_CSA_X_X_TrimTarget_T_VDD3.80V_MeasG_X_X_X_X		95242			N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSA_PAR_Trim_GenTool	Buck10_LP_LS_CSA_X_X_PreTrimCode_C_VDD3.80V_MeasG_X_X_X_X	Buck10_LP_LS_CSA_X_X_PreTrimCode_C_VDD3.80V_MeasG_X_X_BUCK.10.C0078_X	95243			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSA_PAR_Trim_GenTool	Buck10_LP_LS_CSA_X_X_PreTrim_T_VDD3.80V_MeasG_X_X_X_X		95244			N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSA_PAR_Trim_GenTool	Buck10_LP_LS_CSA_X_X_FirstTrimCode_X_VDD3.80V_MeasG_X_X_X_X		95245			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSA_PAR_Trim_GenTool	Buck10_LP_LS_CSA_X_X_FirstTrim_X_VDD3.80V_MeasG_X_X_X_X		95246			N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCK2P3P5P_TRIM	MultiPhase_LP_LS_CSA_PAR_Trim_GenTool	Buck10_LP_LS_CSA_X_X_FinalTrimCode_C_VDD3.80V_MeasG_X_X_X_X	Buck10_LP_LS_CSA_X_X_FinalTrimCode_C_VDD3.80V_MeasG_X_X_BUCK.10.C0079_X	95247			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
