
								CP1	CP1	CP1	QA_C	QA_C	QA_S	QA_S	CHAR_N25C	CHAR_N25C	CHAR_0C	CHAR_0C	CHAR_25C	CHAR_25C	CHAR_85C	CHAR_85C	CHAR_125C	CHAR_125C	FT1	FT1	TBD2	TBD2	
		flowtable	instance	testname	PETname	testnumber	scale	units	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	comment	
	Run	Flow_LDO_Postburn	LDOint_VOUT_PROG_HTOLCHECK	LDO0_INTLDOHTOLCHECK_INTVoutHTOL&H8_X_1mALoad_X_P_X_VDDNV_MeasV_X_X_X_X	LDO0_INTLDOHTOLCHECK_INTVoutHTOL&H8_X_1mALoad_X_P_X_VDDNV_MeasV_X_X_LDO.INT.P0014_X	7850485		V	1.425	1.475	1.425	1.475	1.425	1.475	1.425	1.475	1.425	1.475	1.425	1.475	1.425	1.475	1.425	1.475	1.425	1.475	1.425	1.475	
	Run	Flow_LDO_TRIM	LDO0_ISense_Trim	LDO0_ISENSE_X_X_75mALoad_X_FinalTrim_T_VDDNV_MeasV_X_X_X_X	LDO0_ISENSE_X_X_75mALoad_X_FinalTrim_T_VDDNV_MeasV_X_X_LDO.INT.T0003_X	95757		A	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	
	Run	Flow_LDO_TRIM	LDO0_ISense_Trim	LDO0_ISENSE_X_X_75mALoad_X_FinalTrimCode_C_VDDNV_MeasV_X_X_X_X		95756			N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_LDO_TRIM	LDO0_ISense_Trim	LDO0_ISENSE_X_X_75mALoad_X_FirstTrim_X_VDDNV_MeasV_X_X_X_X		95755		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_LDO_TRIM	LDO0_ISense_Trim	LDO0_ISENSE_X_X_75mALoad_X_FirstTrimCode_X_VDDNV_MeasV_X_X_X_X		95754			N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_LDO_Postburn	LDO0_ISense_PostBurn	LDO0_ISENSE_X_X_75mALoad_X_PostBurn_T_VDDHV_MeasV_X_X_X_X		96151		A	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	
	Run	Flow_LDO_Postburn	LDO0_ISense_PostBurn	LDO0_ISENSE_X_X_75mALoad_X_PostBurn_T_VDDLV_MeasV_X_X_X_X		96151		A	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	
	Run	Flow_LDO_Postburn	LDO0_ISense_PostBurn	LDO0_ISENSE_X_X_75mALoad_X_PostBurn_T_VDDNV_MeasV_X_X_X_X	LDO0_ISENSE_X_X_75mALoad_X_PostBurn_T_VDDNV_MeasV_X_X_LDO.INT.T0001_X	96151		A	0.0726	0.0774	0.0682085	0.0802709	0.0692755932	0.0809632068	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	
	Run	Flow_LDO_Postburn	LDO0_ISense_PostBurn	LDO0_ISENSE_X_X_75mALoad_X_PostBurn_T_VDDULV_MeasV_X_X_X_X		96151		A	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	0.0726	0.0774	
	Run	Flow_LDO_Postburn	LDO0_ISense_PostBurn	LDO0_ISENSE_X_X_75mALoad_X_PostBurnCode_C_VDDHV_MeasV_X_X_X_X		96150			0	31	0	31	0	31	0	31	0	31	0	31	0	31	0	31	0	31	0	31	
